type,name,value,actual_value
accurateLongPassPerGame,"Matteo Darmian, Defender",50.0,1.3
accurateThroughBallPerGame,"Matteo Darmian, Defender",70.83,0.0
passing_rating,"Matteo Darmian, Defender",58.33,7.0
shotSixYardBox,"Matteo Darmian, Defender",62.5,0.0
shotPenaltyArea,"Matteo Darmian, Defender",29.17,0.1
shotOboxTotal,"Matteo Darmian, Defender",41.67,0.1
shotsTotal,"Matteo Darmian, Defender",29.17,0.2
detailed_rating,"Matteo Darmian, Defender",58.33,7.0
goal,"Anthony Martial, Forward",87.5,3.0
assistTotal,"Anthony Martial, Forward",95.83,4.0
shotsPerGame,"Anthony Martial, Forward",79.17,1.64
aerialWonPerGame,"Anthony Martial, Forward",41.67,0.5
manOfTheMatch,"Anthony Martial, Forward",87.5,2.0
passSuccess,"Anthony Martial, Forward",29.17,81.31
all_rating,"Anthony Martial, Forward",54.17,6.94
goalOwn,"Anthony Martial, Forward",95.83,0.0
tacklePerGame,"Anthony Martial, Forward",33.33,0.71
interceptionPerGame,"Anthony Martial, Forward",16.67,0.14
foulsPerGame,"Anthony Martial, Forward",62.5,0.93
offsideWonPerGame,"Anthony Martial, Forward",62.5,0.0
clearancePerGame,"Anthony Martial, Forward",12.5,0.21
wasDribbledPerGame,"Anthony Martial, Forward",33.33,0.21
outfielderBlockPerGame,"Anthony Martial, Forward",41.67,0.07
defensive_rating,"Anthony Martial, Forward",54.17,6.94
keyPassPerGame,"Anthony Martial, Forward",62.5,1.0
dribbleWonPerGame,"Anthony Martial, Forward",91.67,1.43
foulGivenPerGame,"Anthony Martial, Forward",79.17,0.93
offsideGivenPerGame,"Anthony Martial, Forward",75.0,0.21
dispossessedPerGame,"Anthony Martial, Forward",87.5,1.43
turnoverPerGame,"Anthony Martial, Forward",91.67,1.57
offensive_rating,"Anthony Martial, Forward",54.17,6.94
totalPassesPerGame,"Anthony Martial, Forward",20.83,21.79
accurateCrossesPerGame,"Anthony Martial, Forward",75.0,0.5
