PLAYER_NAME,Touch < 2 Seconds,Touch 2-6 Seconds,Touch 6+ Seconds
Corey Brewer_201147_Houston Rockets_1610612745,0.689,0.302,0.009
Ben McLemore_203463_Sacramento Kings_1610612758,0.722,0.261,0.018
E'Twaun Moore_202734_Chicago Bulls_1610612741,0.468,0.383,0.149
DeAndre Jordan_201599_Los Angeles Clippers_1610612746,0.911,0.069,0.02
Jason Smith_201160_Orlando Magic_1610612753,0.889,0.098,0.012
Frank Kaminsky_1626163_Charlotte Hornets_1610612766,0.67,0.324,0.006
Lance Thomas_202498_New York Knicks_1610612752,0.586,0.393,0.021
Wesley Johnson_202325_Los Angeles Clippers_1610612746,0.893,0.105,0.002
Joffrey Lauvergne_203530_Denver Nuggets_1610612743,0.763,0.222,0.016
Shane Larkin_203499_Brooklyn Nets_1610612751,0.349,0.343,0.307
Josh Smith_2746_Houston Rockets_1610612745,0.699,0.258,0.043
Marreese Speights_201578_Golden State Warriors_1610612744,0.811,0.178,0.011
JaMychal Green_203210_Memphis Grizzlies_1610612763,0.785,0.213,0.002
Garrett Temple_202066_Washington Wizards_1610612764,0.695,0.277,0.028
Brandon Jennings_201943__1610612765,0.386,0.307,0.307
Ian Mahinmi_101133_Indiana Pacers_1610612754,0.845,0.148,0.007
Mason Plumlee_203486_Portland Trail Blazers_1610612757,0.723,0.234,0.043
Jose Calderon_101181_New York Knicks_1610612752,0.535,0.21,0.254
Patrick Patterson_202335_Toronto Raptors_1610612761,0.775,0.225,0
Zaza Pachulia_2585_Dallas Mavericks_1610612742,0.809,0.18,0.011
PJ Hairston_203798__1610612766,0.752,0.214,0.034
David Lee_101135_Boston Celtics_1610612742,0.712,0.27,0.018
Luke Babbitt_202337__1610612740,0.498,0.477,0.025
Mike Dunleavy_2399_Chicago Bulls_1610612741,0.818,0.182,0
Andrea Bargnani_200745_Brooklyn Nets_1610612751,0.841,0.159,0
Jared Dudley_201162_Washington Wizards_1610612764,0.908,0.09,0.002
Greivis Vasquez_202349__1610612749,0.449,0.384,0.167
Cody Zeller_203469_Charlotte Hornets_1610612766,0.851,0.146,0.002
Justise Winslow_1626159_Miami Heat_1610612748,0.696,0.267,0.037
Randy Foye_200751__1610612743,0.474,0.314,0.212
Paul Pierce_1718__1610612746,0.65,0.312,0.038
Devin Harris_2734_Dallas Mavericks_1610612742,0.599,0.355,0.046
Rudy Gobert_203497_Utah Jazz_1610612762,0.845,0.144,0.011
David West_2561_San Antonio Spurs_1610612759,0.752,0.237,0.011
TJ McConnell_204456_Philadelphia 76ers_1610612755,0.246,0.444,0.31
Donald Sloan_202388_Brooklyn Nets_1610612751,0.384,0.398,0.218
Vince Carter_1713_Memphis Grizzlies_1610612763,0.662,0.297,0.041
Kosta Koufos_201585_Sacramento Kings_1610612758,0.885,0.103,0.011
D.J. Augustin_201571__1610612760,0.351,0.346,0.303
Andre Iguodala_2738_Golden State Warriors_1610612744,0.652,0.309,0.039
Iman Shumpert_202697__1610612739,0.597,0.34,0.063
Andrew Nicholson_203094_Orlando Magic_1610612753,0.567,0.375,0.059
Kris Humphries_2743_Washington Wizards_1610612764,0.827,0.167,0.007
Donatas Motiejunas_202700_Houston Rockets_1610612745,0.75,0.24,0.01
Leandro Barbosa_2571_Golden State Warriors_1610612744,0.63,0.332,0.038
Trey Lyles_1626168_Utah Jazz_1610612762,0.715,0.283,0.002
Amir Johnson_101161_Boston Celtics_1610612738,0.799,0.192,0.009
Alexis Ajinca_201582_New Orleans Pelicans_1610612740,0.781,0.209,0.01
Spencer Hawes_201150_Charlotte Hornets_1610612766,0.754,0.236,0.01
Ty Lawson_201951__1610612745,0.317,0.422,0.261
Mario Hezonja_1626209_Orlando Magic_1610612753,0.652,0.287,0.06
Tony Snell_203503_Chicago Bulls_1610612741,0.611,0.298,0.091
Charlie Villanueva_101111_Dallas Mavericks_1610612742,0.753,0.241,0.006
Steven Adams_203500_Oklahoma City Thunder_1610612760,0.872,0.121,0.007
Maurice Harkless_203090_Portland Trail Blazers_1610612757,0.717,0.254,0.03
Josh Richardson_1626196_Miami Heat_1610612748,0.574,0.283,0.143
Willie Cauley-Stein_1626161_Sacramento Kings_1610612758,0.875,0.119,0.006
Dante Cunningham_201967_New Orleans Pelicans_1610612740,0.866,0.13,0.005
Tim Hardaway Jr._203501__1610612737,0.746,0.242,0.011
Jason Terry_1891__1610612745,0.713,0.228,0.059
Markel Brown_203900_Brooklyn Nets_1610612751,0.628,0.334,0.038
Raul Neto_203526_Utah Jazz_1610612762,0.424,0.448,0.127
Clint Capela_203991_Houston Rockets_1610612745,0.876,0.121,0.003
Jerian Grant_1626170_New York Knicks_1610612752,0.322,0.45,0.228
Seth Curry_203552__1610612758,0.518,0.259,0.223
John Henson_203089_Milwaukee Bucks_1610612749,0.821,0.172,0.007
Tristan Thompson_202684_Cleveland Cavaliers_1610612739,0.847,0.148,0.005
Mike Scott_203118_Atlanta Hawks_1610612737,0.891,0.099,0.011
Metta World Peace_1897__1610612747,0.605,0.339,0.056
