PLAYER_NAME,0 Dribbles,1 Dribble,2 Dribbles,3-6 Dribbles,7+ Dribbles
Jusuf Nurkic_203994_Denver Nuggets_1610612743,0.656,0.158,0.112,0.075,0
Kevin Martin_2755_San Antonio Spurs_1610612750,0.446,0.234,0.155,0.14,0.025
Jordan Hill_201941_Indiana Pacers_1610612754,0.657,0.177,0.095,0.071,0
Nikola Jokic_203999_Denver Nuggets_1610612743,0.673,0.167,0.087,0.072,0.002
Aaron Gordon_203932__1610612753,0.61,0.144,0.097,0.118,0.031
Manu Ginobili_1938_San Antonio Spurs_1610612759,0.445,0.189,0.131,0.145,0.09
Nik Stauskas_203917_Philadelphia 76ers_1610612755,0.516,0.161,0.119,0.16,0.044
Wayne Ellington_201961_Brooklyn Nets_1610612751,0.49,0.2,0.157,0.119,0.034
Gerald Henderson_201945_Portland Trail Blazers_1610612757,0.398,0.184,0.149,0.216,0.054
Mo Williams_2590__1610612739,0.275,0.083,0.109,0.225,0.308
Archie Goodwin_203462_Phoenix Suns_1610612756,0.293,0.133,0.145,0.295,0.133
Tony Allen_2754_Memphis Grizzlies_1610612763,0.511,0.177,0.147,0.135,0.03
Terrence Jones_203093_Houston Rockets_1610612745,0.514,0.225,0.14,0.104,0.016
Mario Chalmers_201596_Memphis Grizzlies_1610612763,0.307,0.086,0.086,0.244,0.278
Cory Joseph_202709__1610612761,0.192,0.08,0.086,0.302,0.34
Tim Duncan_1495_San Antonio Spurs_1610612759,0.624,0.19,0.093,0.093,0
Toney Douglas_201962_New Orleans Pelicans_1610612740,0.286,0.164,0.09,0.267,0.194
Ramon Sessions_201196_Washington Wizards_1610612764,0.279,0.149,0.08,0.279,0.213
Meyers Leonard_203086_Portland Trail Blazers_1610612757,0.798,0.1,0.074,0.026,0.002
Langston Galloway_204038_New York Knicks_1610612752,0.507,0.136,0.085,0.196,0.077
PJ Tucker_200782_Phoenix Suns_1610612756,0.567,0.158,0.115,0.146,0.014
Danny Green_201980_San Antonio Spurs_1610612759,0.719,0.114,0.106,0.059,0.002
Gorgui Dieng_203476_Minnesota Timberwolves_1610612750,0.689,0.22,0.063,0.028,0
Derrick Williams_202682_New York Knicks_1610612752,0.52,0.17,0.127,0.165,0.018
Bobby Portis_1626171_Chicago Bulls_1610612741,0.634,0.184,0.101,0.076,0.005
Darrell Arthur_201589_Denver Nuggets_1610612743,0.814,0.084,0.068,0.035,0
Jon Leuer_202720_Phoenix Suns_1610612756,0.66,0.146,0.155,0.039,0
Carl Landry_201171_Philadelphia 76ers_1610612755,0.763,0.137,0.072,0.024,0.004
Nick Young_201156__1610612747,0.457,0.228,0.116,0.172,0.027
Lance Stephenson_202362_Memphis Grizzlies_1610612763,0.234,0.12,0.16,0.316,0.169
Taj Gibson_201959_Chicago Bulls_1610612741,0.662,0.176,0.084,0.078,0
Aaron Brooks_201166__1610612741,0.205,0.053,0.094,0.303,0.345
