PLAYER_NAME,Overall,3 Pointers,2 Pointers,Less Than 6Ft,Less Than 10Ft,Greater Than 15Ft
Alex Len_203458_Phoenix Suns_1610612756,-0.001,-0.005,-0.009,-0.016,-0.031,0.004
Shelvin Mack_202714__1610612762,0.003,0.045,-0.015,0.1,0.04,0.017
Doug McDermott_203926_Chicago Bulls_1610612741,0.035,-0.026,0.069,0.163,0.103,-0.012
Luis Scola_2449_Toronto Raptors_1610612761,0.031,0.07,0.018,-0.024,0.006,0.056
Jameer Nelson_2749__1610612743,0.028,0.003,0.057,0.172,0.11,0.012
O.J. Mayo_201564_Milwaukee Bucks_1610612749,-0.032,-0.091,0.022,0.091,0.066,-0.071
Jerami Grant_203924_Philadelphia 76ers_1610612755,-0.042,-0.015,-0.05,-0.068,-0.075,-0.007
Jeremy Lamb_203087_Charlotte Hornets_1610612766,-0.022,-0.051,0.002,0.098,0.031,-0.03
Ricky Rubio_201937_Minnesota Timberwolves_1610612750,0.033,-0.002,0.064,0.148,0.121,0.003
Austin Rivers_203085_Los Angeles Clippers_1610612746,-0.048,-0.035,-0.054,-0.036,-0.048,-0.028
Kyle Korver_2594_Atlanta Hawks_1610612737,-0.009,-0.001,-0.012,0.016,0.007,0.001
Rodney Stuckey_201155_Indiana Pacers_1610612754,0.024,0.057,0.007,0.076,0.034,0.034
Patty Mills_201988_San Antonio Spurs_1610612759,0.03,-0.029,0.056,0.184,0.113,-0.016
Jusuf Nurkic_203994_Denver Nuggets_1610612743,0.009,-0.001,0.001,-0.013,-0.014,-0.014
Kevin Martin_2755_San Antonio Spurs_1610612750,0.072,0.003,0.111,0.243,0.159,0.024
Jordan Hill_201941_Indiana Pacers_1610612754,0.019,-0.014,0.014,-0.025,-0.013,0.019
Nikola Jokic_203999_Denver Nuggets_1610612743,-0.012,0.041,-0.028,-0.079,-0.055,0.009
Aaron Gordon_203932__1610612753,-0.01,-0.003,-0.003,-0.004,-0.007,-0.002
Manu Ginobili_1938_San Antonio Spurs_1610612759,-0.065,-0.131,-0.039,0.018,0.014,-0.094
Nik Stauskas_203917_Philadelphia 76ers_1610612755,0.015,-0.014,0.015,0.01,-0.007,0.021
Wayne Ellington_201961_Brooklyn Nets_1610612751,0.038,0.011,0.068,0.146,0.143,-0.009
Gerald Henderson_201945_Portland Trail Blazers_1610612757,0.022,0.107,-0.03,-0.09,-0.078,0.099
Mo Williams_2590__1610612739,-0.004,0.037,-0.013,0.074,0.022,0.017
Archie Goodwin_203462_Phoenix Suns_1610612756,0.053,0.065,0.052,0.067,0.071,0.048
Tony Allen_2754_Memphis Grizzlies_1610612763,-0.024,-0.042,0.018,0.051,0.041,-0.016
Terrence Jones_203093_Houston Rockets_1610612745,0.055,0.096,0.04,-0.021,-0.006,0.098
Mario Chalmers_201596_Memphis Grizzlies_1610612763,-0.021,-0.084,0.037,0.099,0.053,-0.054
Cory Joseph_202709__1610612761,-0.014,-0.006,-0.019,0.014,-0.011,0.001
Tim Duncan_1495_San Antonio Spurs_1610612759,-0.033,-0.001,-0.05,-0.065,-0.068,-0.005
Toney Douglas_201962_New Orleans Pelicans_1610612740,0.043,0.039,0.051,0.18,0.099,0.021
Ramon Sessions_201196_Washington Wizards_1610612764,0.045,-0.033,0.102,0.11,0.124,0.0
Meyers Leonard_203086_Portland Trail Blazers_1610612757,-0.004,0.035,-0.014,-0.003,0.008,0.0
Langston Galloway_204038_New York Knicks_1610612752,-0.01,-0.002,-0.017,0.025,-0.014,-0.007
PJ Tucker_200782_Phoenix Suns_1610612756,-0.017,0.014,-0.02,-0.005,-0.008,0.009
Danny Green_201980_San Antonio Spurs_1610612759,-0.004,0.011,-0.018,-0.046,-0.042,0.022
Gorgui Dieng_203476_Minnesota Timberwolves_1610612750,0.032,-0.024,0.033,0.026,0.03,0.001
Derrick Williams_202682_New York Knicks_1610612752,-0.016,-0.031,0.005,0.044,0.07,-0.036
Bobby Portis_1626171_Chicago Bulls_1610612741,-0.045,-0.086,-0.032,0.008,0.002,-0.106
Darrell Arthur_201589_Denver Nuggets_1610612743,-0.026,0.016,-0.044,-0.048,-0.042,-0.015
Jon Leuer_202720_Phoenix Suns_1610612756,0.027,-0.008,0.021,-0.023,-0.008,0.041
Carl Landry_201171_Philadelphia 76ers_1610612755,0.051,0.193,0.013,-0.019,0.0,0.152
Nick Young_201156__1610612747,0.056,0.071,0.051,0.139,0.064,0.066
Lance Stephenson_202362_Memphis Grizzlies_1610612763,0.0,-0.032,0.061,0.101,0.105,-0.021
Taj Gibson_201959_Chicago Bulls_1610612741,-0.017,-0.015,-0.02,-0.067,-0.04,0.006
Aaron Brooks_201166__1610612741,-0.045,-0.045,-0.039,0.065,0.031,-0.052
Nene_2403_Washington Wizards_1610612764,0.015,0.061,-0.005,-0.05,-0.026,0.059
Tyler Johnson_204020_Miami Heat_1610612748,0.007,-0.028,0.014,-0.075,-0.044,-0.007
Matthew Dellavedova_203521_Cleveland Cavaliers_1610612739,-0.008,-0.024,0.004,0.104,0.059,-0.028
Corey Brewer_201147_Houston Rockets_1610612745,0.017,0.001,0.049,0.089,0.058,0.004
Ben McLemore_203463_Sacramento Kings_1610612758,0.013,-0.023,0.052,0.041,0.063,-0.016
E'Twaun Moore_202734_Chicago Bulls_1610612741,0.005,0.086,-0.031,-0.033,-0.006,0.059
