PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
Al-Farouq Aminu_202329__1610612757,0.9,0.6,4.9,1.7,3.3,0.506
Nerlens Noel_203457_Philadelphia 76ers_1610612755,1.8,1.5,5.8,4.0,8.3,0.486
Sean Kilpatrick_203930_Brooklyn Nets_1610612751,0.4,0.1,1.4,0.6,0.9,0.704
Enes Kanter_202683_Oklahoma City Thunder_1610612760,0.3,0.4,5.1,2.9,5.5,0.532
Marcus Smart_203935_Boston Celtics_1610612738,1.5,0.3,2.9,1.0,1.7,0.569
Terrence Ross_203082__1610612761,0.8,0.3,2.3,0.6,1.3,0.469
Raymond Felton_101109_Dallas Mavericks_1610612742,0.9,0.2,2.8,0.8,1.5,0.558
Gerald Green_101123_Miami Heat_1610612748,0.6,0.3,2.0,0.8,1.5,0.552
Dwight Howard_2730_Houston Rockets_1610612745,1.0,1.6,8.4,3.6,7.2,0.497
Jerryd Bayless_201573_Milwaukee Bucks_1610612749,0.9,0.2,2.3,0.8,1.5,0.538
Patrick Beverley_201976__1610612745,1.3,0.4,2.5,0.9,1.6,0.58
Allen Crabbe_203459_Portland Trail Blazers_1610612757,0.8,0.2,2.3,0.6,1.3,0.476
Shabazz Muhammad_203498_Minnesota Timberwolves_1610612750,0.3,0.1,2.0,0.8,1.4,0.568
Stanley Johnson_1626169_Detroit Pistons_1610612765,0.8,0.2,3.4,0.8,1.3,0.577
Gary Neal_202390__1610612764,0.5,0.0,1.8,0.8,1.2,0.66
Courtney Lee_201584_Charlotte Hornets_1610612763,1.1,0.4,2.2,0.7,1.2,0.596
Robin Lopez_201577_New York Knicks_1610612752,0.2,1.6,4.1,3.6,7.9,0.458
Kelly Olynyk_203482_Boston Celtics_1610612738,0.8,0.5,3.0,2.2,4.1,0.547
Alex Len_203458_Phoenix Suns_1610612756,0.5,0.8,5.3,2.9,5.7,0.506
Shelvin Mack_202714__1610612762,0.7,0.1,2.2,0.6,0.9,0.592
Doug McDermott_203926_Chicago Bulls_1610612741,0.2,0.1,2.0,1.1,1.8,0.596
Luis Scola_2449_Toronto Raptors_1610612761,0.6,0.3,3.7,1.8,3.1,0.569
Jameer Nelson_2749__1610612743,0.6,0.1,2.5,0.7,1.5,0.5
O.J. Mayo_201564_Milwaukee Bucks_1610612749,1.2,0.2,2.2,1.0,1.7,0.603
Jerami Grant_203924_Philadelphia 76ers_1610612755,0.7,1.6,3.4,2.3,4.9,0.461
Jeremy Lamb_203087_Charlotte Hornets_1610612766,0.6,0.5,3.2,0.8,1.4,0.574
Ricky Rubio_201937_Minnesota Timberwolves_1610612750,2.1,0.1,3.8,1.2,1.9,0.601
Austin Rivers_203085_Los Angeles Clippers_1610612746,0.7,0.1,1.6,0.5,1.3,0.414
Kyle Korver_2594_Atlanta Hawks_1610612737,0.8,0.4,3.1,1.8,3.2,0.565
Rodney Stuckey_201155_Indiana Pacers_1610612754,0.7,0.1,2.4,0.7,1.1,0.576
