PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
Nikola Jokic_203999_Denver Nuggets_1610612743,0.02,0.15,0.04,0.32,0.35,0.08,0.14
Aaron Gordon_203932__1610612753,0.14,0.194,0.097,0.161,0.183,0.043,0.244
Manu Ginobili_1938_San Antonio Spurs_1610612759,0.24,0.323,0.177,0.052,0.052,0.052,0.41
Nik Stauskas_203917_Philadelphia 76ers_1610612755,0.247,0.412,0.153,0.012,0.035,0.012,0.596
Wayne Ellington_201961_Brooklyn Nets_1610612751,0.052,0.429,0.299,0.039,0.026,0.065,0.478
Gerald Henderson_201945_Portland Trail Blazers_1610612757,0.115,0.276,0.299,0.034,0.069,0.034,0.26
Mo Williams_2590__1610612739,0.073,0.28,0.476,0.0,0.0,0.012,0.338
Archie Goodwin_203462_Phoenix Suns_1610612756,0.393,0.09,0.101,0.045,0.056,0.022,0.233
Tony Allen_2754_Memphis Grizzlies_1610612763,0.19,0.143,0.036,0.119,0.143,0.036,0.09
Terrence Jones_203093_Houston Rockets_1610612745,0.138,0.172,0.034,0.207,0.23,0.046,0.217
Mario Chalmers_201596_Memphis Grizzlies_1610612763,0.359,0.175,0.146,0.029,0.019,0.01,0.336
Cory Joseph_202709__1610612761,0.47,0.145,0.205,0.024,0.024,0.036,0.188
Tim Duncan_1495_San Antonio Spurs_1610612759,0.035,0.093,0.058,0.43,0.488,0.116,0.005
Toney Douglas_201962_New Orleans Pelicans_1610612740,0.172,0.241,0.345,0.034,0.034,0.011,0.452
Ramon Sessions_201196_Washington Wizards_1610612764,0.374,0.131,0.121,0.04,0.04,0.04,0.188
Meyers Leonard_203086_Portland Trail Blazers_1610612757,0.024,0.655,0.107,0.071,0.083,0.06,0.523
Langston Galloway_204038_New York Knicks_1610612752,0.145,0.368,0.158,0.026,0.039,0.026,0.381
PJ Tucker_200782_Phoenix Suns_1610612756,0.125,0.325,0.05,0.088,0.125,0.013,0.354
Danny Green_201980_San Antonio Spurs_1610612759,0.069,0.611,0.111,0.069,0.069,0.014,0.624
Gorgui Dieng_203476_Minnesota Timberwolves_1610612750,0.03,0.188,0.059,0.366,0.366,0.129,0.035
Derrick Williams_202682_New York Knicks_1610612752,0.183,0.204,0.118,0.183,0.194,0.075,0.265
Bobby Portis_1626171_Chicago Bulls_1610612741,0.043,0.286,0.071,0.186,0.2,0.043,0.12
Darrell Arthur_201589_Denver Nuggets_1610612743,0.027,0.547,0.093,0.133,0.173,0.093,0.24
Jon Leuer_202720_Phoenix Suns_1610612756,0.118,0.329,0.071,0.153,0.188,0.106,0.237
Carl Landry_201171_Philadelphia 76ers_1610612755,0.031,0.327,0.031,0.245,0.316,0.051,0.052
Nick Young_201156__1610612747,0.041,0.384,0.397,0.014,0.014,0.027,0.637
Lance Stephenson_202362_Memphis Grizzlies_1610612763,0.373,0.108,0.241,0.06,0.06,0.024,0.165
Taj Gibson_201959_Chicago Bulls_1610612741,0.012,0.151,0.023,0.384,0.442,0.093,0.006
Aaron Brooks_201166__1610612741,0.394,0.211,0.324,0.0,0.0,0.014,0.394
Nene_2403_Washington Wizards_1610612764,0.054,0.13,0.043,0.348,0.413,0.098,0.008
Tyler Johnson_204020_Miami Heat_1610612748,0.31,0.322,0.126,0.08,0.069,0.034,0.289
Matthew Dellavedova_203521_Cleveland Cavaliers_1610612739,0.173,0.44,0.267,0.027,0.027,0.013,0.468
Corey Brewer_201147_Houston Rockets_1610612745,0.181,0.319,0.069,0.042,0.056,0.014,0.405
Ben McLemore_203463_Sacramento Kings_1610612758,0.128,0.397,0.115,0.064,0.077,0.064,0.408
E'Twaun Moore_202734_Chicago Bulls_1610612741,0.24,0.28,0.267,0.067,0.04,0.04,0.267
DeAndre Jordan_201599_Los Angeles Clippers_1610612746,0.008,0.0,0.008,0.512,0.496,0.047,0.002
Jason Smith_201160_Orlando Magic_1610612753,0.07,0.648,0.056,0.07,0.085,0.141,0.029
Frank Kaminsky_1626163_Charlotte Hornets_1610612766,0.16,0.347,0.053,0.147,0.187,0.013,0.385
Lance Thomas_202498_New York Knicks_1610612752,0.146,0.317,0.146,0.134,0.159,0.061,0.285
Wesley Johnson_202325_Los Angeles Clippers_1610612746,0.014,0.609,0.116,0.072,0.087,0.029,0.6
Joffrey Lauvergne_203530_Denver Nuggets_1610612743,0.038,0.228,0.013,0.367,0.354,0.101,0.14
Shane Larkin_203499_Brooklyn Nets_1610612751,0.342,0.11,0.315,0.027,0.014,0.041,0.216
Josh Smith_2746_Houston Rockets_1610612745,0.133,0.35,0.067,0.133,0.15,0.05,0.41
Marreese Speights_201578_Golden State Warriors_1610612744,0.056,0.423,0.07,0.127,0.155,0.127,0.136
JaMychal Green_203210_Memphis Grizzlies_1610612763,0.027,0.23,0.027,0.257,0.284,0.054,0.091
Garrett Temple_202066_Washington Wizards_1610612764,0.11,0.438,0.11,0.027,0.027,0.014,0.509
Brandon Jennings_201943__1610612765,0.188,0.261,0.391,0.0,0.0,0.0,0.512
Ian Mahinmi_101133_Indiana Pacers_1610612754,0.032,0.043,0.0,0.419,0.462,0.118,0.0
Mason Plumlee_203486_Portland Trail Blazers_1610612757,0.066,0.011,0.033,0.308,0.308,0.132,0.006
Jose Calderon_101181_New York Knicks_1610612752,0.079,0.408,0.382,0.013,0.026,0.013,0.447
Patrick Patterson_202335_Toronto Raptors_1610612761,0.176,0.574,0.103,0.029,0.044,0.0,0.594
Zaza Pachulia_2585_Dallas Mavericks_1610612742,0.035,0.105,0.012,0.395,0.43,0.116,0.006
PJ Hairston_203798__1610612766,0.21,0.5,0.081,0.016,0.016,0.016,0.592
David Lee_101135_Boston Celtics_1610612742,0.063,0.025,0.025,0.354,0.405,0.063,0.003
Luke Babbitt_202337__1610612740,0.329,0.414,0.086,0.014,0.014,0.043,0.37
Mike Dunleavy_2399_Chicago Bulls_1610612741,0.083,0.486,0.097,0.125,0.181,0.014,0.529
Andrea Bargnani_200745_Brooklyn Nets_1610612751,0.076,0.5,0.152,0.106,0.091,0.242,0.054
Jared Dudley_201162_Washington Wizards_1610612764,0.051,0.633,0.089,0.076,0.089,0.063,0.489
Greivis Vasquez_202349__1610612749,0.281,0.298,0.298,0.018,0.018,0.07,0.529
Cody Zeller_203469_Charlotte Hornets_1610612766,0.069,0.069,0.011,0.368,0.356,0.149,0.023
Justise Winslow_1626159_Miami Heat_1610612748,0.141,0.25,0.063,0.203,0.219,0.047,0.248
Randy Foye_200751__1610612743,0.254,0.339,0.254,0.0,0.0,0.0,0.52
Paul Pierce_1718__1610612746,0.115,0.525,0.23,0.016,0.016,0.016,0.61
Devin Harris_2734_Dallas Mavericks_1610612742,0.197,0.316,0.105,0.066,0.079,0.039,0.425
Rudy Gobert_203497_Utah Jazz_1610612762,0.022,0.022,0.0,0.44,0.462,0.044,0.0
David West_2561_San Antonio Spurs_1610612759,0.028,0.366,0.042,0.254,0.31,0.155,0.016
TJ McConnell_204456_Philadelphia 76ers_1610612755,0.377,0.131,0.41,0.016,0.033,0.0,0.192
Donald Sloan_202388_Brooklyn Nets_1610612751,0.314,0.229,0.157,0.057,0.043,0.029,0.284
Vince Carter_1713_Memphis Grizzlies_1610612763,0.121,0.439,0.106,0.061,0.076,0.03,0.493
Kosta Koufos_201585_Sacramento Kings_1610612758,0.015,0.044,0.015,0.471,0.529,0.029,0.0
D.J. Augustin_201571__1610612760,0.293,0.24,0.293,0.013,0.013,0.027,0.483
Andre Iguodala_2738_Golden State Warriors_1610612744,0.086,0.329,0.143,0.114,0.114,0.014,0.421
Iman Shumpert_202697__1610612739,0.172,0.397,0.19,0.0,0.0,0.034,0.482
Andrew Nicholson_203094_Orlando Magic_1610612753,0.129,0.314,0.057,0.129,0.2,0.0,0.362
Kris Humphries_2743_Washington Wizards_1610612764,0.046,0.446,0.046,0.123,0.123,0.062,0.367
