PLAYER_NAME,0-2 Feet - Very Tight,2-4 Feet - Tight,4-6 Feet - Open,6+ Feet - Wide Open
Boris Diaw_2564_San Antonio Spurs_1610612759,0,0.042,0.107,0.211
Roy Hibbert_201579_Los Angeles Lakers_1610612747,0.015,0.088,0.105,0.23
Channing Frye_101112_Orlando Magic_1610612753,0.017,0.128,0.305,0.366
Thabo Sefolosha_200757_Atlanta Hawks_1610612737,0.014,0.063,0.202,0.246
Festus Ezeli_203105_Golden State Warriors_1610612744,0.009,0.036,0.014,0.018
Trevor Booker_202344_Utah Jazz_1610612762,0.005,0.021,0.083,0.116
Anthony Morrow_201627_Oklahoma City Thunder_1610612760,0.036,0.231,0.363,0.24
Tyler Zeller_203092_Boston Celtics_1610612738,0.003,0.017,0.108,0.191
Shaun Livingston_2733_Golden State Warriors_1610612744,0.075,0.35,0.107,0.035
Cameron Payne_1626166__1610612760,0.043,0.191,0.274,0.209
Ronnie Price_101179__1610612756,0.027,0.203,0.329,0.249
Brandon Bass_101138_Los Angeles Lakers_1610612747,0.006,0.091,0.132,0.044
Norman Powell_1626181_Toronto Raptors_1610612761,0.013,0.109,0.275,0.214
Larry Nance Jr._1626204_Los Angeles Lakers_1610612747,0.007,0.057,0.13,0.217
Rondae Hollis-Jefferson_1626178_Brooklyn Nets_1610612751,0.014,0.094,0.225,0.13
Tyson Chandler_2199_Phoenix Suns_1610612756,0,0.003,0.035,0.077
Timofey Mozgov_202389_Cleveland Cavaliers_1610612739,0.003,0.042,0.045,0.126
Aron Baynes_203382_Detroit Pistons_1610612765,0.005,0.042,0.079,0.131
Lavoy Allen_202730_Indiana Pacers_1610612754,0,0.051,0.116,0.192
Anthony Tolliver_201229_Detroit Pistons_1610612765,0.006,0.079,0.42,0.384
Tim Frazier_204025__1610612740,0.057,0.188,0.205,0.153
Joakim Noah_201149_Chicago Bulls_1610612741,0.008,0.008,0.015,0.045
Chris McCullough_1626191_Brooklyn Nets_1610612751,0.018,0.083,0.266,0.248
Sasha Vujacic_2756__1610612752,0.043,0.264,0.359,0.214
Beno Udrih_2757__1610612748,0.046,0.242,0.247,0.222
JJ Hickson_201581_Washington Wizards_1610612743,0.006,0.097,0.116,0.052
Jonathon Simmons_203613_San Antonio Spurs_1610612759,0.004,0.104,0.112,0.108
Richaun Holmes_1626158_Philadelphia 76ers_1610612755,0,0.027,0.054,0.212
Troy Daniels_203584__1610612766,0.048,0.235,0.385,0.246
JaKarr Sampson_203960_Denver Nuggets_1610612755,0.003,0.057,0.107,0.132
Marcelo Huertas_1626273_Los Angeles Lakers_1610612747,0.065,0.174,0.213,0.178
Justin Holiday_203200__1610612741,0.018,0.138,0.302,0.204
Tyus Jones_1626145__1610612750,0.032,0.219,0.187,0.161
Anthony Brown_1626148__1610612747,0.032,0.16,0.392,0.24
Jarell Martin_1626185_Memphis Grizzlies_1610612763,0.009,0.121,0.147,0.095
Tiago Splitter_201168_Atlanta Hawks_1610612737,0,0,0.007,0.033
Dwight Powell_203939_Dallas Mavericks_1610612742,0.003,0.054,0.172,0.193
Amar'e Stoudemire_2405_Miami Heat_1610612748,0,0.036,0.095,0.072
Kevin Seraphin_202338_New York Knicks_1610612752,0.005,0.147,0.191,0.147
James Johnson_201949_Toronto Raptors_1610612761,0.009,0.038,0.166,0.157
Richard Jefferson_2210_Cleveland Cavaliers_1610612739,0.023,0.194,0.277,0.194
Kyle O'Quinn_203124_New York Knicks_1610612752,0,0.066,0.317,0.181
CJ Watson_201228__1610612753,0.022,0.226,0.277,0.182
Steve Blake_2581__1610612765,0.025,0.175,0.321,0.325
Ryan Kelly_203527_Los Angeles Lakers_1610612747,0.04,0.148,0.161,0.275
Thomas Robinson_203080_Brooklyn Nets_1610612751,0,0.076,0.1,0.038
Ed Davis_202334_Portland Trail Blazers_1610612757,0.003,0.003,0.012,0.003
Tyler Ennis_203898__1610612749,0.016,0.203,0.176,0.123
Andrew Bogut_101106_Golden State Warriors_1610612744,0.004,0.044,0.037,0.018
JaVale McGee_201580_Dallas Mavericks_1610612742,0,0.015,0.067,0.082
Andre Roberson_203460_Oklahoma City Thunder_1610612760,0,0.022,0.062,0.315
Nemanja Bjelica_202357_Minnesota Timberwolves_1610612750,0.004,0.057,0.243,0.283
Kendall Marshall_203088__1610612755,0,0.111,0.291,0.291
Miles Plumlee_203101_Milwaukee Bucks_1610612749,0,0.026,0.026,0.017
Kyle Anderson_203937_San Antonio Spurs_1610612759,0.058,0.167,0.194,0.18
Rashad Vaughn_1626173__1610612749,0.03,0.239,0.28,0.231
Cole Aldrich_202332_Los Angeles Clippers_1610612746,0,0.009,0,0
John Jenkins_203098__1610612756,0.038,0.225,0.294,0.175
Jonas Jerebko_201973_Boston Celtics_1610612738,0,0.064,0.121,0.348
Shabazz Napier_203894__1610612753,0.025,0.219,0.408,0.159
Quincy Acy_203112_Sacramento Kings_1610612758,0,0.019,0.114,0.3
Chase Budinger_201978_Indiana Pacers_1610612756,0.013,0.121,0.251,0.109
Brandon Rush_201575_Golden State Warriors_1610612744,0.012,0.065,0.181,0.504
Joe Ingles_204060__1610612762,0.014,0.148,0.392,0.299
Noah Vonleh_203943_Portland Trail Blazers_1610612757,0,0.033,0.102,0.266
Ray McCallum_203492_San Antonio Spurs_1610612763,0.014,0.145,0.338,0.2
Josh McRoberts_201177_Miami Heat_1610612748,0.02,0.047,0.223,0.284
Solomon Hill_203524_Indiana Pacers_1610612754,0.014,0.106,0.184,0.188
James Anderson_202341__1610612758,0.006,0.08,0.257,0.246
